feature,coef
Shell weight,2.4335647257418405
Whole weight.1,-2.1039863138488535
Whole weight,1.2315096742615845
Whole weight.1 Sex_M,-0.9294699046623389
Whole weight.1 Sex_F,-0.8446700968270452
Shell weight Sex_F,0.8210629094465605
Shell weight Sex_M,0.7742709313166166
Whole weight.1^2,0.7671241599198768
Length,-0.6428308286624791
Height,0.5529835260984064
Whole weight.1 Shell weight,-0.5244032886215352
Whole weight.2 Shell weight,-0.498428379213347
Height Whole weight.1,-0.46708912186858176
Height Shell weight,0.45689310847649944
Diameter Shell weight,0.3537157044252454
Shell weight Sex_I,0.34205330529225497
Whole weight Sex_M,0.2607872508279036
Whole weight Sex_F,0.25600340157069695
Length Sex_F,-0.2210834038449002
Whole weight Sex_I,0.2141244399214967
Sex_I^2,-0.1803245704110366
Sex_I,-0.17886337321050466
Height Sex_M,0.1707618958437491
Length^2,-0.1613797789038179
Length Diameter,-0.1579572576319732
Diameter Whole weight.1,-0.14366277904701252
Height Sex_F,0.1355609396400763
Diameter Whole weight,0.13450484783876004
Length Whole weight.1,-0.1012477439411526
Whole weight Whole weight.1,-0.0926063408778687
Whole weight.2^2,0.08805005390863137
Diameter,-0.0787824041023039
Whole weight.1 Whole weight.2,0.07750025578755738
Whole weight Shell weight,-0.07434063855320483
Height Whole weight.2,-0.05510193311380609
Sex_F^2,0.055034557037768356
Sex_F,0.05430087262679117
Whole weight.2 Sex_I,0.05312909533801935
id Sex_F,-0.029012828858058518
Diameter^2,-0.028328495217845924
